"|","|__startDate","|__endDate","|__rate","stockName"
"1","11/3/2016","11/4/2016","0","證券代碼"
"2","11/2/2016","11/4/2016","0",""
"3","11/1/2016","11/4/2016","0",""
"last1","11/6/2015","11/9/2015","0",""
"last2","11/6/2015","11/10/2015","0",""
"last3","11/9/2015","11/10/2015","0",""
"1","1/27/2016","10/31/2016","0.48431372549019613","1101 台泥"
"2","1/26/2016","10/31/2016","0.48431372549019613",""
"3","1/27/2016","10/28/2016","0.4823529411764705",""
"last1","11/6/2015","1/26/2016","-0.29752066115702475",""
"last2","11/6/2015","1/27/2016","-0.29752066115702475",""
"last3","11/9/2015","1/26/2016","-0.296551724137931",""
"1","5/20/2016","8/25/2016","0.3004201680672268","1102 亞泥"
"2","5/20/2016","8/23/2016","0.2983193277310923",""
"3","5/26/2016","8/25/2016","0.2976939203354297",""
"last1","11/6/2015","5/20/2016","-0.30510948905109486",""
"last2","11/6/2015","5/26/2016","-0.30364963503649633",""
"last3","11/6/2015","5/19/2016","-0.30218978102189786",""
"1","6/24/2016","8/19/2016","0.11205846528623628","1103 嘉泥"
"2","6/24/2016","9/8/2016","0.11084043848964656",""
"3","6/24/2016","9/7/2016","0.11084043848964656",""
"last1","11/6/2015","6/24/2016","-0.23271028037383165",""
"last2","11/9/2015","6/24/2016","-0.22910798122065723",""
"last3","11/6/2015","6/27/2016","-0.22803738317757005",""
"1","5/9/2016","10/4/2016","0.31234256926952136","1104 環泥"
"2","5/9/2016","10/5/2016","0.3073047858942064",""
"3","5/19/2016","10/4/2016","0.305764411027569",""
"last1","12/7/2015","5/9/2016","-0.15531914893617016",""
"last2","12/9/2015","5/9/2016","-0.1535181236673773",""
"last3","11/19/2015","5/9/2016","-0.1517094017094016",""
"1","1/22/2016","7/19/2016","0.11229946524064179","1108 幸福"
"2","1/22/2016","7/18/2016","0.11229946524064179",""
"3","1/21/2016","7/19/2016","0.10756123535676249",""
"last1","7/18/2016","10/14/2016","-0.13173076923076932",""
"last2","7/19/2016","10/14/2016","-0.13173076923076932",""
"last3","7/18/2016","10/18/2016","-0.12980769230769226",""
"1","1/26/2016","8/26/2016","0.15784008307372788","1109 信大"
"2","1/27/2016","8/26/2016","0.15544041450777202",""
"3","1/28/2016","8/26/2016","0.15067079463364302",""
"last1","8/26/2016","10/21/2016","-0.10762331838565031",""
"last2","8/26/2016","11/3/2016","-0.10762331838565031",""
"last3","8/26/2016","11/4/2016","-0.10762331838565031",""
"1","1/25/2016","4/18/2016","0.17647058823529416","1110 東泥"
"2","1/21/2016","4/18/2016","0.17647058823529416",""
"3","1/25/2016","8/17/2016","0.1727941176470588",""
"last1","12/31/2015","1/21/2016","-0.13924050632911397",""
"last2","12/31/2015","1/25/2016","-0.13924050632911397",""
"last3","12/31/2015","1/20/2016","-0.1329113924050634",""
"1","12/9/2015","6/22/2016","0.38749999999999996","1201 味全"
"2","12/8/2015","6/22/2016","0.38749999999999996",""
"3","12/9/2015","6/23/2016","0.3812500000000001",""
"last1","6/22/2016","10/4/2016","-0.2117117117117117",""
"last2","6/22/2016","11/3/2016","-0.2117117117117117",""
"last3","6/23/2016","10/4/2016","-0.20814479638009054",""
"1","11/12/2015","11/26/2015","0.06422018348623847","1203 味王"
"2","11/12/2015","3/4/2016","0.061926605504587055",""
"3","11/12/2015","11/25/2015","0.05963302752293581",""
"last1","11/26/2015","9/1/2016","-0.08189655172413787",""
"last2","3/4/2016","9/1/2016","-0.079913606911447",""
"last3","11/26/2015","3/30/2016","-0.07974137931034474",""
"1","11/16/2015","6/29/2016","0.604221635883905","1210 大成"
"2","11/23/2015","6/29/2016","0.5958005249343831",""
"3","12/18/2015","6/29/2016","0.5916230366492145",""
"last1","6/29/2016","7/25/2016","-0.14144736842105254",""
"last2","6/29/2016","8/9/2016","-0.13486842105263153",""
"last3","6/29/2016","7/22/2016","-0.12993421052631576",""
"1","12/16/2015","5/31/2016","0.4620689655172413","1213 大飲"
"2","1/26/2016","5/31/2016","0.44217687074829937",""
"3","1/27/2016","5/31/2016","0.4372881355932203",""
"last1","5/31/2016","9/30/2016","-0.29245283018867924",""
"last2","5/31/2016","9/26/2016","-0.2900943396226415",""
"last3","5/31/2016","10/3/2016","-0.2900943396226415",""
"1","11/11/2015","10/19/2016","1.2065727699530515","1215 卜蜂"
"2","11/11/2015","10/27/2016","1.1901408450704225",""
"3","11/11/2015","10/21/2016","1.1854460093896713",""
"last1","7/4/2016","7/25/2016","-0.16444981862152366",""
